latitude,longitude,altitude,geometry,﻿web-scraper-order,web-scraper-start-url,riverSegment,riverName,riverMile,bank,season,camping,contact,phone,website,restrooms-src,potableWater-src,marineDumpStation-src,dayUseOnly-src,picnicShelters-src,boatRamp-src,handCarried-src,marina-src,adaAccess-src
45.695,-120.37,,Point,1639846015-81,http://www.ndwt.org/ndwt/explore/site.asp?site=130,Lake Umatilla,Columbia,234,OR,,,US Army Corps of Engineers,,,0,0,0,0,0,0,0,0,0
46.49144,-116.45002,,Point,1639845856-12,http://www.ndwt.org/ndwt/explore/site.asp?site=202,Clearwater,Clearwater,34,South,year round,None,BLM Cottonwood Field Office,(208)962-3425,http://tinyurl.com/2dhmo9,1,0,0,1,0,1,0,0,0
45.93342,-119.59269,,Point,1639846035-90,http://www.ndwt.org/ndwt/explore/site.asp?site=121,Lake Umatilla,Columbia,278,WA,,none,The Dalles Natural Resource Management Office,,,0,0,0,1,0,1,1,0,0
45.711983,-121.506617,,Point,1639845951-52,http://www.ndwt.org/ndwt/explore/site.asp?site=159,Lake Bonneville,Columbia,170,S- OR,"year round, fuel for vessels April 16-Sept.30",None,Port of Hood River,541-386-1645,http://tinyurl.com/24vmnd,1,0,1,1,0,1,0,1,1
45.7166,-121.522583,,Point,1639845940-47,http://www.ndwt.org/ndwt/explore/site.asp?site=164,Lake Bonneville,Columbia,169,OR,year round,None,Port of Hood River,541-386-1645,http://tinyurl.com/24mqav,1,0,0,1,0,0,1,0,0
45.70905,-121.4572,,Point,1639845957-55,http://www.ndwt.org/ndwt/explore/site.asp?site=156,Lake Bonneville,Columbia,172,WA,year round,None,Port of Klickitat,509-493-1655,http://tinyurl.com/27zyt6,1,0,0,1,0,0,0,0,0
46.368257,-118.687991,,Point,1639846134-135,http://www.ndwt.org/ndwt/explore/site.asp?site=76,Lake Sacajawea,Snake,25,S -WA,Year round,undeveloped,Ice Harbor Lock and Dam,,,0,0,0,1,0,0,0,0,0
45.710733,-121.778467,,Point,1639845931-43,http://www.ndwt.org/ndwt/explore/site.asp?site=168,Lake Bonneville,Columbia,155,N-WA,Camping April 1 - October 31,Yes,Skamania Parks and Recreation,509-427-3980,http://www.chvs.org/home_valley.html,1,0,0,1,0,0,1,0,1
46.245979,-119.239763,,Point,1639846094-117,http://www.ndwt.org/ndwt/explore/site.asp?site=94,Lake Wallula,Columbia,335,WA,,undeveloped,,,,0,0,0,1,0,0,0,0,0
45.633767,-121.96525,,Point,1639845911-34,http://www.ndwt.org/ndwt/explore/site.asp?site=177,Lower Columbia River Water Trail,Columbia,144,WA,year round,undeveloped,US Army Corps of Engineers,541-374-4556,,0,0,0,1,0,1,0,0,0
46.261313,-119.241768,,Point,1639846099-119,http://www.ndwt.org/ndwt/explore/site.asp?site=92,Lake Wallula,Columbia,336,WA,,,,,,0,0,0,0,0,0,0,0,0
45.710833,-121.497883,,Point,1639845948-51,http://www.ndwt.org/ndwt/explore/site.asp?site=160,Lake Bonneville,Columbia,170,OR,,,Privately Owned,541-386-2200,,0,0,0,0,0,0,0,0,0
45.711,-120.71,,Point,1639845998-73,http://www.ndwt.org/ndwt/explore/site.asp?site=138,Lake Celilo,Columbia,214,OR,,Yes,Army Corps of Engineers,,,1,0,0,1,0,0,1,0,0
45.70465,-121.455167,,Point,1639845955-54,http://www.ndwt.org/ndwt/explore/site.asp?site=157,Lake Bonneville,Columbia,172,WA,year round,undeveloped,Port of Klickitat,509-493-1655,,1,0,0,1,0,0,0,0,0
46.274805,-119.271569,,Point,1639845834-2,http://www.ndwt.org/ndwt/explore/site.asp?site=212,Lake Wallula,Columbia,337.5,West,year round,None,City of Richland Parks and Recreation Department,509-942-7529,http://tinyurl.com/3ewy2k,1,1,0,1,1,1,1,0,1
45.914945,-119.350084,,Point,1639846046-95,http://www.ndwt.org/ndwt/explore/site.asp?site=116,Lake Umatilla,Columbia,289,OR,year round,None,City of Umatilla,(541) 922-3226,http://www.umatilla-city.org/facts.html,1,0,0,0,0,1,1,0,0
46.533268,-118.581204,,Point,1639846139-137,http://www.ndwt.org/ndwt/explore/site.asp?site=74,Lake Sacajawea,Snake,39,N - WA,Open Year Round. Restrooms/Water provided April 1 - Sept 7,Yes,Ice Harbor Lock and Dam,(	509)-547-2048,http://tinyurl.com/2cvgfb,1,1,0,1,1,1,1,0,1
45.728,-120.65,,Point,1639846011-79,http://www.ndwt.org/ndwt/explore/site.asp?site=132,Lake Umatilla,Columbia,219,S- OR,,Yes,The Dalles Natural Resource Management Office,(541)506-7819,http://tinyurl.com/22j7eb,1,0,0,1,0,1,0,0,0
46.217682,-119.108862,,Point,1639846083-112,http://www.ndwt.org/ndwt/explore/site.asp?site=99,Lake Wallula,Columbia,329,WA,,,,,,0,0,0,0,0,0,0,0,0
45.91,-119.55,,Point,1639846039-92,http://www.ndwt.org/ndwt/explore/site.asp?site=119,Lake Umatilla,Columbia,280,OR,year round,Yes,The Dalles Natural Resource Management Office,541-506-7819,,1,0,0,1,0,1,1,0,0
46,-116,,Point,1639845893-28,http://www.ndwt.org/ndwt/explore/site.asp?site=185,,Clearwater,6,North,,,Idaho Fish and Game,,http://tinyurl.com/28x8kh,0,0,0,1,0,1,0,0,0
46.51208,-116.68378,,Point,1639846257-188,http://www.ndwt.org/ndwt/explore/site.asp?site=21,Clearwater,Clearwater,21,South,,None,Idaho Fish & Game,(208) 334-3700,,1,0,0,0,0,1,1,0,0
46.585647,-118.220225,,Point,1639846154-144,http://www.ndwt.org/ndwt/explore/site.asp?site=67,Lake West,Snake,59,S -WA,Year round Closed on Tuesdays for both Summer and Winter hours..,Yes,Clarkston Natural Resources Office,509-751-0240,http://tinyurl.com/284x54,1,0,1,1,0,1,1,1,1
46,-118.986531,,Point,1639846068-105,http://www.ndwt.org/ndwt/explore/site.asp?site=106,Lake Wallula,Columbia,309,,,,,,,0,0,0,0,0,0,0,0,0
45.856,-119.85,,Point,1639846028-87,http://www.ndwt.org/ndwt/explore/site.asp?site=124,Lake Umatilla,Columbia,262,N-WA,March 15th to October 15th,Yes,Benton County,,http://www.crowbutte.com/,1,0,0,1,1,1,0,0,1
